date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:27:58	376106/376106	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/banner-bg.jpg	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/banner-bg.jpg	(from http://httpcoder.com/demo/html/foodking/view/assets/css/style-default.min.css)
10:28:07	164510/164510	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/special-style-right.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/special-style-right.png	(from http://httpcoder.com/demo/html/foodking/view/assets/css/style-default.min.css)
10:28:14	40816/40816	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/feedback-bg-left.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/feedback-bg-left.png	(from http://httpcoder.com/demo/html/foodking/view/assets/css/style-default.min.css)
10:28:17	237680/237680	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/special-style-left.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/special-style-left.png	(from http://httpcoder.com/demo/html/foodking/view/assets/css/style-default.min.css)
10:28:21	39735/39735	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/feedback-bg-right.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/feedback-bg-right.png	(from http://httpcoder.com/demo/html/foodking/view/assets/css/style-default.min.css)
10:28:28	187487/187487	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/milestone-bg.jpg	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/milestone-bg.jpg	(from http://httpcoder.com/demo/html/foodking/view/assets/css/style-default.min.css)
10:28:39	281048/281048	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/menu-bg.jpg	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/menu-bg.jpg	(from http://httpcoder.com/demo/html/foodking/view/assets/css/style-default.min.css)
10:28:52	142840/142840	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/footer-bg.jpg	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/footer-bg.jpg	(from http://httpcoder.com/demo/html/foodking/view/assets/css/style-default.min.css)
10:28:53	87496/87496	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/inner-banner-bg.jpg	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/inner-banner-bg.jpg	(from http://httpcoder.com/demo/html/foodking/view/assets/css/style-default.min.css)
10:28:59	260747/260747	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/subscribe-bg-left.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/subscribe-bg-left.png	(from http://httpcoder.com/demo/html/foodking/view/assets/css/style-default.min.css)
10:29:02	261232/261232	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/subscribe-bg-right.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/subscribe-bg-right.png	(from http://httpcoder.com/demo/html/foodking/view/assets/css/style-default.min.css)
10:29:10	47633/47633	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/team/team1.jpg	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/team/team1.jpg	(from http://httpcoder.com/demo/html/foodking/view/about.html)
